timestamp,lot_name,occupied_spots,available_spots,total_capacity
2026-02-02 22:40,Stadium_Deck,2,2,4
2026-02-02 22:40,Athletics_Deck,0,4,4
2026-02-02 22:40,Haley_Deck,1,1,2
2026-02-02 22:45,Stadium_Deck,2,2,4
2026-02-02 22:45,Athletics_Deck,0,4,4
2026-02-02 22:45,Haley_Deck,1,1,2
2026-02-02 22:50,Stadium_Deck,2,2,4
2026-02-02 22:50,Athletics_Deck,0,4,4
2026-02-02 22:50,Haley_Deck,1,1,2
2026-02-02 22:55,Stadium_Deck,2,2,4
2026-02-02 22:55,Athletics_Deck,0,4,4
2026-02-02 22:55,Haley_Deck,1,1,2
2026-02-02 23:00,Stadium_Deck,2,2,4
2026-02-02 23:00,Athletics_Deck,0,4,4
2026-02-02 23:00,Haley_Deck,1,1,2
2026-02-02 23:05,Stadium_Deck,1,3,4
2026-02-02 23:05,Athletics_Deck,0,4,4
2026-02-02 23:05,Haley_Deck,1,1,2
2026-02-02 23:10,Stadium_Deck,1,3,4
2026-02-02 23:10,Athletics_Deck,0,4,4
2026-02-02 23:10,Haley_Deck,1,1,2
2026-02-02 23:15,Stadium_Deck,1,3,4
2026-02-02 23:15,Athletics_Deck,0,4,4
2026-02-02 23:15,Haley_Deck,1,1,2
2026-02-02 23:20,Stadium_Deck,1,3,4
2026-02-02 23:20,Athletics_Deck,0,4,4
2026-02-02 23:20,Haley_Deck,1,1,2
2026-02-02 23:25,Stadium_Deck,1,3,4
2026-02-02 23:25,Athletics_Deck,0,4,4
2026-02-02 23:25,Haley_Deck,1,1,2
2026-02-02 23:30,Stadium_Deck,1,3,4
2026-02-02 23:30,Athletics_Deck,0,4,4
2026-02-02 23:30,Haley_Deck,1,1,2
2026-02-02 23:35,Stadium_Deck,1,3,4
2026-02-02 23:35,Athletics_Deck,0,4,4
2026-02-02 23:35,Haley_Deck,1,1,2
2026-02-02 23:40,Stadium_Deck,1,3,4
2026-02-02 23:40,Athletics_Deck,0,4,4
2026-02-02 23:40,Haley_Deck,1,1,2
2026-02-02 23:45,Stadium_Deck,1,3,4
2026-02-02 23:45,Athletics_Deck,0,4,4
2026-02-02 23:45,Haley_Deck,1,1,2
2026-02-02 23:50,Stadium_Deck,1,3,4
2026-02-02 23:50,Athletics_Deck,0,4,4
2026-02-02 23:50,Haley_Deck,1,1,2
2026-02-02 23:55,Stadium_Deck,1,3,4
2026-02-02 23:55,Athletics_Deck,0,4,4
2026-02-02 23:55,Haley_Deck,1,1,2
2026-02-03 00:00,Stadium_Deck,1,3,4
2026-02-03 00:00,Athletics_Deck,0,4,4
2026-02-03 00:00,Haley_Deck,1,1,2
2026-02-03 00:05,Stadium_Deck,1,3,4
2026-02-03 00:05,Athletics_Deck,0,4,4
2026-02-03 00:05,Haley_Deck,1,1,2
2026-02-03 00:10,Stadium_Deck,1,3,4
2026-02-03 00:10,Athletics_Deck,0,4,4
2026-02-03 00:10,Haley_Deck,1,1,2
2026-02-03 00:15,Stadium_Deck,1,3,4
2026-02-03 00:15,Athletics_Deck,0,4,4
2026-02-03 00:15,Haley_Deck,1,1,2
2026-02-03 00:20,Stadium_Deck,1,3,4
2026-02-03 00:20,Athletics_Deck,0,4,4
2026-02-03 00:20,Haley_Deck,1,1,2
2026-02-03 00:25,Stadium_Deck,1,3,4
2026-02-03 00:25,Athletics_Deck,0,4,4
2026-02-03 00:25,Haley_Deck,1,1,2
2026-02-03 00:30,Stadium_Deck,1,3,4
2026-02-03 00:30,Athletics_Deck,0,4,4
2026-02-03 00:30,Haley_Deck,1,1,2
2026-02-03 00:35,Stadium_Deck,1,3,4
2026-02-03 00:35,Athletics_Deck,0,4,4
2026-02-03 00:35,Haley_Deck,1,1,2
2026-02-03 00:40,Stadium_Deck,1,3,4
2026-02-03 00:40,Athletics_Deck,0,4,4
2026-02-03 00:40,Haley_Deck,1,1,2
2026-02-03 00:45,Stadium_Deck,1,3,4
2026-02-03 00:45,Athletics_Deck,0,4,4
2026-02-03 00:45,Haley_Deck,1,1,2
2026-02-03 00:50,Stadium_Deck,1,3,4
2026-02-03 00:50,Athletics_Deck,0,4,4
2026-02-03 00:50,Haley_Deck,1,1,2
2026-02-03 00:55,Stadium_Deck,1,3,4
2026-02-03 00:55,Athletics_Deck,0,4,4
2026-02-03 00:55,Haley_Deck,1,1,2
2026-02-03 01:00,Stadium_Deck,1,3,4
2026-02-03 01:00,Athletics_Deck,0,4,4
2026-02-03 01:00,Haley_Deck,1,1,2
2026-02-03 01:05,Stadium_Deck,1,3,4
2026-02-03 01:05,Athletics_Deck,0,4,4
2026-02-03 01:05,Haley_Deck,1,1,2
2026-02-03 01:10,Stadium_Deck,1,3,4
2026-02-03 01:10,Athletics_Deck,0,4,4
2026-02-03 01:10,Haley_Deck,1,1,2
2026-02-03 01:15,Stadium_Deck,1,3,4
2026-02-03 01:15,Athletics_Deck,0,4,4
2026-02-03 01:15,Haley_Deck,1,1,2
2026-02-03 01:20,Stadium_Deck,1,3,4
2026-02-03 01:20,Athletics_Deck,0,4,4
2026-02-03 01:20,Haley_Deck,1,1,2
2026-02-03 01:25,Stadium_Deck,1,3,4
2026-02-03 01:25,Athletics_Deck,0,4,4
2026-02-03 01:25,Haley_Deck,1,1,2
2026-02-03 01:30,Stadium_Deck,1,3,4
2026-02-03 01:30,Athletics_Deck,0,4,4
2026-02-03 01:30,Haley_Deck,1,1,2
2026-02-03 01:35,Stadium_Deck,1,3,4
2026-02-03 01:35,Athletics_Deck,0,4,4
2026-02-03 01:35,Haley_Deck,1,1,2
2026-02-03 01:40,Stadium_Deck,1,3,4
2026-02-03 01:40,Athletics_Deck,0,4,4
2026-02-03 01:40,Haley_Deck,1,1,2
2026-02-03 01:45,Stadium_Deck,1,3,4
2026-02-03 01:45,Athletics_Deck,0,4,4
2026-02-03 01:45,Haley_Deck,1,1,2
2026-02-03 01:50,Stadium_Deck,1,3,4
2026-02-03 01:50,Athletics_Deck,0,4,4
2026-02-03 01:50,Haley_Deck,1,1,2
2026-02-03 01:55,Stadium_Deck,1,3,4
2026-02-03 01:55,Athletics_Deck,0,4,4
2026-02-03 01:55,Haley_Deck,1,1,2
2026-02-03 02:00,Stadium_Deck,1,3,4
2026-02-03 02:00,Athletics_Deck,0,4,4
2026-02-03 02:00,Haley_Deck,1,1,2
2026-02-03 02:05,Stadium_Deck,1,3,4
2026-02-03 02:05,Athletics_Deck,0,4,4
2026-02-03 02:05,Haley_Deck,1,1,2
2026-02-03 02:10,Stadium_Deck,1,3,4
2026-02-03 02:10,Athletics_Deck,0,4,4
2026-02-03 02:10,Haley_Deck,1,1,2
2026-02-03 02:15,Stadium_Deck,1,3,4
2026-02-03 02:15,Athletics_Deck,0,4,4
2026-02-03 02:15,Haley_Deck,1,1,2
2026-02-03 02:20,Stadium_Deck,1,3,4
2026-02-03 02:20,Athletics_Deck,0,4,4
2026-02-03 02:20,Haley_Deck,1,1,2
2026-02-03 02:25,Stadium_Deck,1,3,4
2026-02-03 02:25,Athletics_Deck,0,4,4
2026-02-03 02:25,Haley_Deck,1,1,2
2026-02-03 02:30,Stadium_Deck,1,3,4
2026-02-03 02:30,Athletics_Deck,0,4,4
2026-02-03 02:30,Haley_Deck,1,1,2
2026-02-03 02:35,Stadium_Deck,1,3,4
2026-02-03 02:35,Athletics_Deck,0,4,4
2026-02-03 02:35,Haley_Deck,1,1,2
2026-02-03 02:40,Stadium_Deck,1,3,4
2026-02-03 02:40,Athletics_Deck,0,4,4
2026-02-03 02:40,Haley_Deck,1,1,2
2026-02-03 02:45,Stadium_Deck,1,3,4
2026-02-03 02:45,Athletics_Deck,0,4,4
2026-02-03 02:45,Haley_Deck,1,1,2
2026-02-03 02:50,Stadium_Deck,1,3,4
2026-02-03 02:50,Athletics_Deck,0,4,4
2026-02-03 02:50,Haley_Deck,1,1,2
2026-02-03 02:55,Stadium_Deck,1,3,4
2026-02-03 02:55,Athletics_Deck,0,4,4
2026-02-03 02:55,Haley_Deck,1,1,2
2026-02-03 03:00,Stadium_Deck,1,3,4
2026-02-03 03:00,Athletics_Deck,0,4,4
2026-02-03 03:00,Haley_Deck,1,1,2
2026-02-03 03:05,Stadium_Deck,1,3,4
2026-02-03 03:05,Athletics_Deck,0,4,4
2026-02-03 03:05,Haley_Deck,1,1,2
2026-02-03 03:10,Stadium_Deck,1,3,4
2026-02-03 03:10,Athletics_Deck,0,4,4
2026-02-03 03:10,Haley_Deck,1,1,2
2026-02-03 03:15,Stadium_Deck,1,3,4
2026-02-03 03:15,Athletics_Deck,0,4,4
2026-02-03 03:15,Haley_Deck,1,1,2
2026-02-03 03:20,Stadium_Deck,1,3,4
2026-02-03 03:20,Athletics_Deck,0,4,4
2026-02-03 03:20,Haley_Deck,1,1,2
2026-02-03 03:25,Stadium_Deck,1,3,4
2026-02-03 03:25,Athletics_Deck,0,4,4
2026-02-03 03:25,Haley_Deck,1,1,2
2026-02-03 03:30,Stadium_Deck,1,3,4
2026-02-03 03:30,Athletics_Deck,0,4,4
2026-02-03 03:30,Haley_Deck,1,1,2
2026-02-03 03:35,Stadium_Deck,1,3,4
2026-02-03 03:35,Athletics_Deck,0,4,4
2026-02-03 03:35,Haley_Deck,1,1,2
2026-02-03 03:40,Stadium_Deck,1,3,4
2026-02-03 03:40,Athletics_Deck,0,4,4
2026-02-03 03:40,Haley_Deck,1,1,2
2026-02-03 03:45,Stadium_Deck,1,3,4
2026-02-03 03:45,Athletics_Deck,0,4,4
2026-02-03 03:45,Haley_Deck,1,1,2
2026-02-03 03:50,Stadium_Deck,1,3,4
2026-02-03 03:50,Athletics_Deck,0,4,4
2026-02-03 03:50,Haley_Deck,1,1,2
2026-02-03 03:55,Stadium_Deck,1,3,4
2026-02-03 03:55,Athletics_Deck,0,4,4
2026-02-03 03:55,Haley_Deck,1,1,2
2026-02-03 04:00,Stadium_Deck,1,3,4
2026-02-03 04:00,Athletics_Deck,0,4,4
2026-02-03 04:00,Haley_Deck,1,1,2
2026-02-03 04:05,Stadium_Deck,1,3,4
2026-02-03 04:05,Athletics_Deck,0,4,4
2026-02-03 04:05,Haley_Deck,1,1,2
2026-02-03 04:10,Stadium_Deck,1,3,4
2026-02-03 04:10,Athletics_Deck,0,4,4
2026-02-03 04:10,Haley_Deck,1,1,2
2026-02-03 04:15,Stadium_Deck,1,3,4
2026-02-03 04:15,Athletics_Deck,0,4,4
2026-02-03 04:15,Haley_Deck,1,1,2
2026-02-03 04:20,Stadium_Deck,1,3,4
2026-02-03 04:20,Athletics_Deck,0,4,4
2026-02-03 04:20,Haley_Deck,1,1,2
2026-02-03 04:25,Stadium_Deck,1,3,4
2026-02-03 04:25,Athletics_Deck,0,4,4
2026-02-03 04:25,Haley_Deck,1,1,2
2026-02-03 04:30,Stadium_Deck,1,3,4
2026-02-03 04:30,Athletics_Deck,0,4,4
2026-02-03 04:30,Haley_Deck,1,1,2
2026-02-03 04:35,Stadium_Deck,1,3,4
2026-02-03 04:35,Athletics_Deck,0,4,4
2026-02-03 04:35,Haley_Deck,1,1,2
2026-02-03 04:40,Stadium_Deck,1,3,4
2026-02-03 04:40,Athletics_Deck,0,4,4
2026-02-03 04:40,Haley_Deck,1,1,2
2026-02-03 04:45,Stadium_Deck,1,3,4
2026-02-03 04:45,Athletics_Deck,0,4,4
2026-02-03 04:45,Haley_Deck,1,1,2
2026-02-03 04:50,Stadium_Deck,1,3,4
2026-02-03 04:50,Athletics_Deck,0,4,4
2026-02-03 04:50,Haley_Deck,1,1,2
2026-02-03 04:55,Stadium_Deck,1,3,4
2026-02-03 04:55,Athletics_Deck,0,4,4
